Título,Tipo de Propiedad,Dirección,Zona,Número de Ambientes,Dormitorios,Número de Baños,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicación
"Semi-piso 4 Ambientes Con Balcón, Cochera Y Baulera - Colegiales","Departamento - Departamento
Maure al al 2500, Colegiales, CABA","Departamento - Departamento
Maure al al 2500, Colegiales, CABA",", Colegiales, CABA",4 Ambientes,3 Dorm.,3 Baños,1 Cochera,95 m² total,USD 245.000,No especificado,Publicado el 13/11/2024
Departamento 3 Ambientes Con Balcón Y Cochera,"Departamento - Departamento
Paraguay al 3000, Recoleta, CABA","Departamento - Departamento
Paraguay al 3000, Recoleta, CABA",", Recoleta, CABA",3 Ambientes,2 Dorm.,1 Baño,1 Cochera,57 m² total,USD 139.000,No especificado,Publicado el 13/11/2024
Espectacular Semipiso Con Dos Cocheras En Belgrano,"Departamento - Departamento
Pampa al al 1400, Belgrano, CABA","Departamento - Departamento
Pampa al al 1400, Belgrano, CABA",", Belgrano, CABA",2 Ambientes,1 Dorm.,1 Baño,2 Cocheras,80 m² total,USD 260.000,No especificado,Publicado el 13/11/2024
Departamento En Villa Del Parque,"Departamento - Departamento
Jose Ingenieros al al 2800, Villa del Parque, CABA","Departamento - Departamento
Jose Ingenieros al al 2800, Villa del Parque, CABA",", Villa del Parque, CABA",2 Ambientes,1 Dorm.,1 Baño,45 m² total,45 m² cubierto,USD 65.000,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 3 - UNIDAD 050, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 3 - UNIDAD 050, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",2 Ambientes,1 Dorm.,1 Baño,57.2 m² total,45 m² cubierto,USD 160.160,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 3 - UNIDAD 020, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 3 - UNIDAD 020, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",2 Ambientes,1 Dorm.,1 Baño,45.58 m² total,40.73 m² cubierto,USD 127.624,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 4 - UNIDAD 010, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 4 - UNIDAD 010, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",2 Ambientes,1 Dorm.,1 Baño,59.49 m² total,49.2 m² cubierto,USD 172.521,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 3 - UNIDAD 010, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 3 - UNIDAD 010, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",2 Ambientes,1 Dorm.,1 Baño,59.49 m² total,49.2 m² cubierto,USD 169.547,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 3 DORMITORIOS - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 6 - UNIDAD 040, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 6 - UNIDAD 040, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",4 Ambientes,3 Dorm.,2 Baños,138.95 m² total,115.68 m² cubierto,USD 416.850,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 3 DORMITORIOS - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 3 - UNIDAD 040, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 3 - UNIDAD 040, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",4 Ambientes,3 Dorm.,2 Baños,138.95 m² total,115.68 m² cubierto,USD 389.060,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 3 DORMITORIOS - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 2 - UNIDAD 040, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 2 - UNIDAD 040, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",4 Ambientes,3 Dorm.,2 Baños,138.95 m² total,115.68 m² cubierto,USD 402.955,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 3 AMBIENTES - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 1 - UNIDAD 060, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 1 - UNIDAD 060, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",3 Ambientes,2 Dorm.,2 Baños,81.44 m² total,61.26 m² cubierto,USD 223.960,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 1 AMBIENTE - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 1 - UNIDAD 040, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 1 - UNIDAD 040, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",1 Ambiente,1 Baño,No especificado,31 m² cubierto,No especificado,USD 106.563,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 1 - UNIDAD 020, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 1 - UNIDAD 020, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",2 Ambientes,1 Dorm.,1 Baño,45.58 m² total,40.73 m² cubierto,USD 129.912,Expensas: $110.000,Publicado el 13/11/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL","Departamento
HABITAT RECOLETA - PISO 1 - UNIDAD 010, Barrio Norte Recoleta, CABA","Departamento
HABITAT RECOLETA - PISO 1 - UNIDAD 010, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",2 Ambientes,1 Dorm.,1 Baño,45.58 m² total,40.73 m² cubierto,USD 172.755,Expensas: $36.500,Publicado el 13/11/2024
"Dpto de 3 Amb Amplios, al C/Frente con Gran Balcon, lav.","Departamento - Departamento
Virgilio al 1300, Monte Castro, CABA","Departamento - Departamento
Virgilio al 1300, Monte Castro, CABA",", Monte Castro, CABA",3 Ambientes,2 Dorm.,1 Baño,81.72 m² total,69.65 m² cubierto,USD 110.000,Expensas: $138.000,Publicado el 13/11/2024
2 AMBIENTES A LA CALLE CON BALCÓN,"Departamento - Departamento
Avenida Olazábal al 3200, Belgrano R, CABA","Departamento - Departamento
Avenida Olazábal al 3200, Belgrano R, CABA",", Belgrano R, CABA",2 Ambientes,1 Dorm.,1 Baño,43 m² total,40 m² cubierto,USD 90.000,Expensas: $110.000,Publicado el 13/11/2024
Excelente Casa 8 Ambientes - Fondo Libre - Quincho - Dependencia,"Casa - Casa
Cochrane al 3400, Villa Devoto, CABA","Casa - Casa
Cochrane al 3400, Villa Devoto, CABA",", Villa Devoto, CABA",8 Ambientes,7 Dorm.,7 Baños,720 m² total,498 m² cubierto,USD 580.000,Expensas: $165.000,Publicado el 13/11/2024
"Departamento de 1 Ambiente Amplio al frente con Ventana, en Balvanera","Departamento
Pichincha al 300, Balvanera, CABA","Departamento
Pichincha al 300, Balvanera, CABA",", Balvanera, CABA",1 Ambiente,1 Dorm.,1 Baño,33 m² total,33 m² cubierto,USD 49.500,No especificado,Publicado el 13/11/2024
DEPARTAMENTO 4 AMBIENTES CON COCHERA FIJA CUBIERTA EN VENTA EN FLORES,"Departamento - Departamento
Avenida Rivadavia al 6300, Flores, CABA","Departamento - Departamento
Avenida Rivadavia al 6300, Flores, CABA",", Flores, CABA",4 Ambientes,3 Dorm.,1 Baño,69 m² total,61 m² cubierto,USD 150.000,No especificado,Publicado el 13/11/2024
Departamento Monoambiente Venta en Belgrano,"Departamento
Av. Cabildo al 1600, Belgrano, CABA","Departamento
Av. Cabildo al 1600, Belgrano, CABA",", Belgrano, CABA",1 Ambiente,1 Dorm.,1 Baño,40 m² total,35 m² cubierto,USD 102.368,No especificado,Publicado el 13/11/2024
Oportunidad Monoambiente C/ Balcón Luminoso,"Departamento - Monoambiente
Paraguay al 1900, Barrio Norte, CABA","Departamento - Monoambiente
Paraguay al 1900, Barrio Norte, CABA",", Barrio Norte, CABA",No especificado,No especificado,No especificado,No especificado,No especificado,USD 58,No especificado,Publicado el 13/11/2024
"DEPARTAMENTO 1 AMBIENTE - BELGRANO C/CHICO/BARRANCAS, CAPITAL FEDERAL","Departamento - Departamento
ARCOS al 2000, Belgrano C, CABA","Departamento - Departamento
ARCOS al 2000, Belgrano C, CABA",", Belgrano C, CABA",1 Ambiente,1 Baño,No especificado,41 m² cubierto,No especificado,USD 129.000,No especificado,Publicado el 13/11/2024
Semipiso 2 ambientes en Caballito con cochera,"Departamento - Semipiso
Avenida Juan Bautista Alberdi al 300, Caballito Sur, CABA","Departamento - Semipiso
Avenida Juan Bautista Alberdi al 300, Caballito Sur, CABA",", Caballito Sur, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,55 m² total,USD 150.000,No especificado,Publicado el 13/11/2024
Live Belgrano Arcos 3 Ambientes,"Departamento - Departamento
Arcos al 2000, Belgrano, CABA","Departamento - Departamento
Arcos al 2000, Belgrano, CABA",", Belgrano, CABA",3 Ambientes,2 Dorm.,2 Baños,116 m² total,76 m² cubierto,USD 390.000,No especificado,Publicado el 13/11/2024
Live Belgrano Arcos Monoambiente,"Departamento - Departamento
Arcos al 2000, Belgrano, CABA","Departamento - Departamento
Arcos al 2000, Belgrano, CABA",", Belgrano, CABA",1 Ambiente,1 Baño,No especificado,39 m² cubierto,No especificado,USD 140.000,Expensas: $233.193,Publicado el 13/11/2024
Live Belgrano Arcos Monoambiente,"Departamento - Departamento
Arcos al 2000, Belgrano, CABA","Departamento - Departamento
Arcos al 2000, Belgrano, CABA",", Belgrano, CABA",1 Ambiente,1 Baño,No especificado,39 m² cubierto,No especificado,USD 140.000,Expensas: $113.700,Publicado el 13/11/2024
"DEPARTAMENTO 3 DORMITORIOS - RECOLETA, CAPITAL FEDERAL","Departamento - Departamento
Paraguay al 1300, Barrio Norte Recoleta, CABA","Departamento - Departamento
Paraguay al 1300, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",4 Ambientes,3 Dorm.,1 Baño,95.9 m² total,95.9 m² cubierto,USD 210.000,Expensas: $113.700,Publicado el 13/11/2024
EDIFIO CON SUM Y PARRILLA • 3 AMBIENTES • VILLA DEL PARQUE,"Departamento - Departamento
Marcos Sastre al 2800, Villa del Parque, CABA","Departamento - Departamento
Marcos Sastre al 2800, Villa del Parque, CABA",", Villa del Parque, CABA",3 Ambientes,2 Dorm.,No especificado,64 m² cubierto,No especificado,USD 173.000,Expensas: $90.000,Publicado el 13/11/2024
EDIFIO CON SUM Y PARRILLA • 2 AMBIENTES • VILLA DEL PARQUE,"Departamento - Departamento
Marcos Sastre al 2800, Villa del Parque, CABA","Departamento - Departamento
Marcos Sastre al 2800, Villa del Parque, CABA",", Villa del Parque, CABA",2 Ambientes,1 Dorm.,1 Baño,45 m² total,41 m² cubierto,USD 110.000,No especificado,Publicado el 13/11/2024
Venta 2 ambientes Recoleta,"Departamento - Departamento
Arenales al 1200, Barrio Norte Recoleta, CABA","Departamento - Departamento
Arenales al 1200, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",2 Ambientes,1 Dorm.,1 Baño,55 m² total,55 m² cubierto,USD 80.000,No especificado,Publicado el 13/11/2024
Departamento en venta de 2 dormitorios en Villa Urquiza,"Departamento
C. Dr. Pedro I. Rivera al 4900, Villa Urquiza, CABA","Departamento
C. Dr. Pedro I. Rivera al 4900, Villa Urquiza, CABA",", Villa Urquiza, CABA",3 Ambientes,2 Dorm.,1 Baño,94 m² total,79 m² cubierto,USD 230.000,No especificado,Publicado el 13/11/2024
Departamento en venta de 1 dormitorio en Núñez,"Departamento
Besares al 2300, Nuñez, CABA","Departamento
Besares al 2300, Nuñez, CABA",", Nuñez, CABA",1 Ambiente,1 Dorm.,1 Baño,34 m² total,29 m² cubierto,USD 95.000,No especificado,Publicado el 13/11/2024
Departamento en venta de 1 dormitorio en Monserrat,"Departamento
Chacabuco al 100, Monserrat, CABA","Departamento
Chacabuco al 100, Monserrat, CABA",", Monserrat, CABA",1 Ambiente,1 Baño,No especificado,26 m² cubierto,No especificado,USD 40.000,No especificado,Publicado el 13/11/2024
Departamento en venta de 1 dormitorio en Monserrat,"Departamento
Bolívar al 200, Monserrat, CABA","Departamento
Bolívar al 200, Monserrat, CABA",", Monserrat, CABA",1 Ambiente,1 Dorm.,1 Baño,27 m² total,27 m² cubierto,USD 82.000,No especificado,Publicado el 13/11/2024
Departamento 2 Ambientes Venta Núñez,"Departamento
Correa al al 2300, Nuñez, CABA","Departamento
Correa al al 2300, Nuñez, CABA",", Nuñez, CABA",1 Ambiente,1 Baño,No especificado,33 m² cubierto,No especificado,USD 88.000,No especificado,Publicado el 13/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
AV.PUEYRREDON al 800, Balvanera, CABA","Departamento - Departamento
AV.PUEYRREDON al 800, Balvanera, CABA",", Balvanera, CABA",2 Ambientes,1 Dorm.,1 Baño,52 m² total,52 m² cubierto,USD 130.000,No especificado,Publicado el 13/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
San Jose al 1000, Constitución, CABA","Departamento - Departamento
San Jose al 1000, Constitución, CABA",", Constitución, CABA",3 Ambientes,2 Dorm.,1 Baño,72 m² total,55 m² cubierto,USD 70.000,Expensas: $50.000,Publicado el 13/11/2024
OPPEL | Departamento en Venta | BELGRANO Capital Federal |,"Departamento - Departamento
MENDOZA al 3100, Belgrano, CABA","Departamento - Departamento
MENDOZA al 3100, Belgrano, CABA",", Belgrano, CABA",4 Ambientes,2 Dorm.,2 Baños,64 m² total,64 m² cubierto,USD 135.000,Expensas: $260.000,Publicado el 13/11/2024
Departamento - Venta - Capital Federal,"Departamento - Piso
Zelada al 7600, Mataderos, CABA","Departamento - Piso
Zelada al 7600, Mataderos, CABA",", Mataderos, CABA",3 Ambientes,2 Dorm.,2 Baños,83 m² total,75 m² cubierto,USD 230.000,Expensas: $70.000,Publicado el 13/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
La Pampa al 2800, Belgrano, CABA","Departamento - Departamento
La Pampa al 2800, Belgrano, CABA",", Belgrano, CABA",2 Ambientes,1 Dorm.,No especificado,55 m² cubierto,No especificado,USD 165.000,Expensas: $80.000,Publicado el 13/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
SARMIENTO al 4000, Almagro, CABA","Departamento - Departamento
SARMIENTO al 4000, Almagro, CABA",", Almagro, CABA",1 Ambiente,1 Baño,No especificado,32 m² cubierto,No especificado,USD 75.000,Expensas: $200.000,Publicado el 13/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
Jose Antonio cabrera al 3900, Palermo, CABA","Departamento - Departamento
Jose Antonio cabrera al 3900, Palermo, CABA",", Palermo, CABA",1 Ambiente,1 Dorm.,No especificado,33 m² cubierto,No especificado,USD 118.000,Expensas: $58.000,Publicado el 13/11/2024
VENTA 2 ambientes Zencity Puerto Madero,"Departamento - Departamento
ROSARIO VERA PEÑALOZA al 500, Puerto Madero, CABA","Departamento - Departamento
ROSARIO VERA PEÑALOZA al 500, Puerto Madero, CABA",", Puerto Madero, CABA",2 Ambientes,1 Dorm.,1 Baño,57 m² total,57 m² cubierto,USD 310.000,Expensas: $150.000,Publicado el 13/11/2024
venta 2 ambientes c/balcón Villa Ortuzar,"Departamento - Departamento
Agustin Donado al 800, Villa Ortúzar, CABA","Departamento - Departamento
Agustin Donado al 800, Villa Ortúzar, CABA",", Villa Ortúzar, CABA",2 Ambientes,1 Dorm.,1 Baño,39 m² total,36 m² cubierto,USD 77.000,Expensas: $60.000,Publicado el 13/11/2024
Venta c/ Renta - Departamento 3 ambientes en Caballito,"Departamento - Departamento
Yerbal al 800, Caballito, CABA","Departamento - Departamento
Yerbal al 800, Caballito, CABA",", Caballito, CABA",3 Ambientes,2 Dorm.,1 Baño,58 m² total,55 m² cubierto,USD 130.000,Expensas: $190.000,Publicado el 13/11/2024
Gurruchaga 300 Villa Crespo 1amb U$86.000,"Departamento - Departamento
Gurruchaga al 300, Villa Crespo, CABA","Departamento - Departamento
Gurruchaga al 300, Villa Crespo, CABA",", Villa Crespo, CABA",1 Ambiente,1 Baño,No especificado,40 m² cubierto,No especificado,USD 86.000,Expensas: $260.000,Publicado el 13/11/2024
Av Ángel Gallardo 500 Caballito 3amb U$190.000,"Departamento - Semipiso
Av Ángel Gallardo al 500, Caballito, CABA","Departamento - Semipiso
Av Ángel Gallardo al 500, Caballito, CABA",", Caballito, CABA",3 Ambientes,2 Dorm.,3 Baños,90 m² total,86 m² cubierto,USD 190.000,No especificado,Publicado el 13/11/2024
Av Corrientes 800 Centro 1amb U$63.000,"Departamento - Departamento
Av Corrientes al 800, Microcentro / Centro, CABA","Departamento - Departamento
Av Corrientes al 800, Microcentro / Centro, CABA",", Microcentro / Centro, CABA",1 Ambiente,1 Baño,No especificado,23 m² cubierto,No especificado,USD 63.000,No especificado,Publicado el 13/11/2024
"Caballito, venta 2 ambientes al frente con balcon.","Departamento - Departamento
Valentin Virasoro al 900, Caballito, CABA","Departamento - Departamento
Valentin Virasoro al 900, Caballito, CABA",", Caballito, CABA",2 Ambientes,1 Dorm.,1 Baño,43 m² total,40 m² cubierto,USD 95.000,Expensas: $100.000,Publicado el 13/11/2024
Venta Villa Urquiza 2 Ambientes con Balcon,"Departamento - Departamento
Diaz Colodrero al 3000, Villa Urquiza, CABA","Departamento - Departamento
Diaz Colodrero al 3000, Villa Urquiza, CABA",", Villa Urquiza, CABA",2 Ambientes,1 Dorm.,1 Baño,40 m² total,35 m² cubierto,USD 98.000,Expensas: $150.000,Publicado el 13/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
ZAMUDIO al 4000, Villa Pueyrredón, CABA","Departamento - Departamento
ZAMUDIO al 4000, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",3 Ambientes,2 Dorm.,1 Baño,61 m² total,51 m² cubierto,USD 120.000,Expensas: $120.000,Publicado el 13/11/2024
2 ambientes con terraza propia - TORRES ABASTO,"Departamento - Departamento
GALLO al 600, Abasto, CABA","Departamento - Departamento
GALLO al 600, Abasto, CABA",", Abasto, CABA",2 Ambientes,1 Dorm.,1 Baño,73 m² total,37 m² cubierto,USD 110.000,No especificado,Publicado el 13/11/2024
Departamento De 3 Ambientes En Venta En Palermo,"Departamento
CORDOBA al 3600, Palermo, CABA","Departamento
CORDOBA al 3600, Palermo, CABA",", Palermo, CABA",3 Ambientes,2 Dorm.,1 Baño,55 m² total,52 m² cubierto,USD 85.000,No especificado,Publicado el 12/11/2024
Departamento Monoambiente Venta Villa Pueyrredón,"Departamento - Departamento
TERRADA al . Entre Vallejos y Gabriela mistral al 4500, Villa Pueyrredón, CABA","Departamento - Departamento
TERRADA al . Entre Vallejos y Gabriela mistral al 4500, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",1 Ambiente,1 Baño,No especificado,28 m² cubierto,No especificado,USD 75.000,No especificado,Publicado el 12/11/2024
Departamento 3 Ambientes Venta Villa Pueyrredón,"Departamento - Departamento
GABRIELA MISTRAL al . Entre Cuenca y Helguera al 3100, Villa Pueyrredón, CABA","Departamento - Departamento
GABRIELA MISTRAL al . Entre Cuenca y Helguera al 3100, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",3 Ambientes,2 Dorm.,2 Baños,71 m² total,62 m² cubierto,USD 160.000,No especificado,Publicado el 12/11/2024
Departamento Monoambiente Venta Villa Urquiza,"Departamento - Departamento
MANUELA PEDRAZA al . Entre Galvan y Pacheco al 5000, Villa Urquiza, CABA","Departamento - Departamento
MANUELA PEDRAZA al . Entre Galvan y Pacheco al 5000, Villa Urquiza, CABA",", Villa Urquiza, CABA",1 Ambiente,1 Dorm.,1 Baño,36 m² total,34 m² cubierto,USD 60.000,No especificado,Publicado el 12/11/2024
Monoambiente Dividido-patio-placar-apto Prof-agua Central,"Departamento - Departamento
Solis al 600, Balvanera Congreso, CABA","Departamento - Departamento
Solis al 600, Balvanera Congreso, CABA",", Balvanera Congreso, CABA",1 Baño,No especificado,No especificado,No especificado,No especificado,USD 41.000,No especificado,Publicado el 12/11/2024
Departamento 4 Ambientes Venta Villa Pueyrredón,"Departamento - Departamento
AV MOSCONI al . Entre Av. nazca y Terrada al 2800, Villa Pueyrredón, CABA","Departamento - Departamento
AV MOSCONI al . Entre Av. nazca y Terrada al 2800, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",4 Ambientes,3 Dorm.,1 Baño,142 m² total,124 m² cubierto,USD 283.000,No especificado,Publicado el 12/11/2024
Departamento 3 Ambientes Venta Villa Real,"Departamento - Departamento
LOPE DE VEGA al . Entre Pedro moran y Cantilo al 3300, Villa Real, CABA","Departamento - Departamento
LOPE DE VEGA al . Entre Pedro moran y Cantilo al 3300, Villa Real, CABA",", Villa Real, CABA",3 Ambientes,2 Dorm.,1 Baño,60.8 m² total,58 m² cubierto,USD 110.000,No especificado,Publicado el 12/11/2024
Departamento 3 Ambientes Venta Villa Pueyrredón,"Departamento - Departamento
M.F.SOLANO LOPEZ al . Entre Bolivia y Artigas al 2500, Villa Pueyrredón, CABA","Departamento - Departamento
M.F.SOLANO LOPEZ al . Entre Bolivia y Artigas al 2500, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",3 Ambientes,2 Dorm.,1 Baño,59 m² total,59 m² cubierto,USD 110.000,No especificado,Publicado el 12/11/2024
Departamento 3 Ambientes Venta Villa Devoto,"Departamento - Departamento
CHIVILCOY al . Entre Varela al 3200, Villa Devoto, CABA","Departamento - Departamento
CHIVILCOY al . Entre Varela al 3200, Villa Devoto, CABA",", Villa Devoto, CABA",3 Ambientes,2 Dorm.,2 Baños,1 Cochera,83 m² total,USD 215.000,No especificado,Publicado el 12/11/2024
Departamento En Venta En Villa Pueyrredón,"Departamento - Departamento
ZAMUDIO al . Entre Av. salvador m. del carril y Nueva york al 4000, Villa Pueyrredón, CABA","Departamento - Departamento
ZAMUDIO al . Entre Av. salvador m. del carril y Nueva york al 4000, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",3 Ambientes,2 Dorm.,1 Baño,61 m² total,51 m² cubierto,USD 120.000,No especificado,Publicado el 12/11/2024
Departamento 3 Ambientes Venta Villa Pueyrredón,"Departamento - Departamento
CONDARCO al . Entre Mosconi y Carlos a . lopez al 4700, Villa Pueyrredón, CABA","Departamento - Departamento
CONDARCO al . Entre Mosconi y Carlos a . lopez al 4700, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",3 Ambientes,2 Dorm.,1 Baño,56 m² total,53 m² cubierto,USD 128.000,No especificado,Publicado el 12/11/2024
Departamento 3 Ambientes Venta Villa Pueyrredón,"Departamento - Departamento
CAMPANA al . Entre Pareja y Av. salvador m. del carril al 4100, Villa Pueyrredón, CABA","Departamento - Departamento
CAMPANA al . Entre Pareja y Av. salvador m. del carril al 4100, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",3 Ambientes,2 Dorm.,1 Baño,62 m² total,62 m² cubierto,USD 110.000,No especificado,Publicado el 12/11/2024
Departamento 3 Ambientes Venta Parque Chas,"Departamento - Departamento
AV DE LOS INCAS al . Entre Av constituyentes y Burela al 5400, Parque Chas, CABA","Departamento - Departamento
AV DE LOS INCAS al . Entre Av constituyentes y Burela al 5400, Parque Chas, CABA",", Parque Chas, CABA",3 Ambientes,2 Dorm.,1 Baño,60 m² total,60 m² cubierto,USD 115.000,No especificado,Publicado el 12/11/2024
Departamento Monoambiente Venta Villa Ortuzar,"Departamento - Departamento
COMBATIENTES DE MALVINAS al . Entre Llerena y Campillo al 3100, Villa Ortúzar, CABA","Departamento - Departamento
COMBATIENTES DE MALVINAS al . Entre Llerena y Campillo al 3100, Villa Ortúzar, CABA",", Villa Ortúzar, CABA",1 Ambiente,1 Baño,No especificado,33 m² cubierto,No especificado,USD 76.000,No especificado,Publicado el 12/11/2024
Departamento Monoambiente Venta Villa Urquiza,"Departamento - Departamento
MENDOZA al . Entre Alvarez thomas al 4600, Villa Urquiza, CABA","Departamento - Departamento
MENDOZA al . Entre Alvarez thomas al 4600, Villa Urquiza, CABA",", Villa Urquiza, CABA",1 Ambiente,1 Baño,1 Cochera,33 m² total,31 m² cubierto,USD 80.000,No especificado,Publicado el 12/11/2024
Reservado Departamento 2 Ambientes Venta Villa Pueyrredón,"Departamento - Departamento
AV MOSCONI al . Entre Zamudio y Caracas al 2300, Villa Pueyrredón, CABA","Departamento - Departamento
AV MOSCONI al . Entre Zamudio y Caracas al 2300, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",2 Ambientes,1 Dorm.,1 Baño,54 m² total,47 m² cubierto,USD 125.000,No especificado,Publicado el 12/11/2024
Departamento 2 Ambientes Venta Villa Pueyrredón,"Departamento - Departamento
HELGUERA al . Entre Esquina y Gabriela mistral al 4500, Villa Pueyrredón, CABA","Departamento - Departamento
HELGUERA al . Entre Esquina y Gabriela mistral al 4500, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",2 Ambientes,1 Dorm.,1 Baño,43 m² total,40 m² cubierto,USD 80.000,No especificado,Publicado el 12/11/2024
Departamento 2 Ambientes Venta Villa Ortuzar,"Departamento - Departamento
TRIUNVIRATO al . Entre Heredia y Estomba al 2900, Villa Ortúzar, CABA","Departamento - Departamento
TRIUNVIRATO al . Entre Heredia y Estomba al 2900, Villa Ortúzar, CABA",", Villa Ortúzar, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,50 m² total,USD 130.000,No especificado,Publicado el 12/11/2024
Departamento 3 Ambientes Venta Villa Urquiza,"Departamento - Departamento
FRANKLIN D. ROOSEVELT al . Entre Bucarelli y Baunes al 5200, Villa Urquiza, CABA","Departamento - Departamento
FRANKLIN D. ROOSEVELT al . Entre Bucarelli y Baunes al 5200, Villa Urquiza, CABA",", Villa Urquiza, CABA",3 Ambientes,2 Dorm.,1 Baño,50 m² total,50 m² cubierto,USD 130.000,No especificado,Publicado el 12/11/2024
Vendido Departamento 2 Ambientes Venta Villa Pueyrredón,"Departamento - Departamento
AV MOSCONI al . Entre Zamudio y Caracas al 2300, Villa Pueyrredón, CABA","Departamento - Departamento
AV MOSCONI al . Entre Zamudio y Caracas al 2300, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",2 Ambientes,1 Dorm.,1 Baño,54 m² total,47 m² cubierto,USD 130.000,No especificado,Publicado el 12/11/2024
Reservado Ph 3 Ambientes Venta Villa Urquiza,"Departamento - Departamento
CERETTI al . Entre La pampa y Ballivian al 1700, Villa Urquiza, CABA","Departamento - Departamento
CERETTI al . Entre La pampa y Ballivian al 1700, Villa Urquiza, CABA",", Villa Urquiza, CABA",3 Ambientes,2 Dorm.,1 Baño,105 m² total,50 m² cubierto,USD 145.000,No especificado,Publicado el 12/11/2024
Departamento En Venta En Belgrano Excelentes Detalles,"Departamento - Departamento
Blanco Encalada al al 1900, Belgrano, CABA","Departamento - Departamento
Blanco Encalada al al 1900, Belgrano, CABA",", Belgrano, CABA",2 Ambientes,1 Dorm.,1 Baño,41 m² total,34 m² cubierto,USD 139.900,No especificado,Publicado el 12/11/2024
