Ti­tulo,Tipo de Propiedad,Zona,Numero de Areas,Dormitorios,Numero de Banos,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicacion
Departamento 3 Ambientes Con 2 Baños Amenities Cocheras Optativas,Departamento,Saavedra,3,2,2,95,59,"$191,250",$0,15/10/2024
Venta|PH 3 amb al frente con entrada independiente|Saavedra,Departamento,Saavedra,3,2,1,185,98,"$198,000",$0,03/10/2024
Departamento A Estrenar! 1 Dormitorio,Departamento,Saavedra,2,1,1,71,70,"$199,000",$0,08/11/2024
Excepc 3 Amb Fte Bcon Tza C/parr (1 Ste) Estilo Ph Urbanos Mts Pque Saavedra,Departamento,Saavedra,3,2,2,80,62,"$214,000",$0,11/10/2024
Excepc 3 Amb Fte Bcon Tza C/parr (1 Ste) Estilo Ph Urbanos Mts Pque Saavedra,Departamento,Saavedra,3,2,2,80,62,"$214,000",$0,11/10/2024
Departamento 3 Ambientes En Saavedra,Departamento,Saavedra,3,2,2,89,75,"$220,000",$0,12/11/2024
Departamento En Saavedra,Departamento,Saavedra,3,2,2,97,80,"$228,000",$0,22/11/2024
Departamento En Venta Saavedra,Departamento,Saavedra,3,2,2,87,0,"$234,900",$0,06/11/2024
Departamento 3 Ambientes,Departamento,Saavedra,3,2,1,78,78,"$247,000",$0,25/10/2024
Venta Departamento - Saavedra,Departamento,Saavedra,4,3,1,109,0,"$265,000",$0,14/10/2024
Venta Depto. 2 Y 3 Amb. En El Barrio De Saavedra,Departamento,Saavedra,3,2,1,138,74,"$287,000",$0,08/11/2024
"Departamento En Venta Ubicado En Saavedra, 2 Dormitorios",Departamento,Saavedra,3,2,2,101,88,"$296,000",$0,08/11/2024
Departamento 3 Ambientes En Saavedra,Departamento,Saavedra,4,3,3,105,86,"$303,000",$0,12/11/2024
Departamento 4 Ambientes En Saavedra,Departamento,Saavedra,4,3,3,152,131,"$372,000",$0,12/11/2024
Venta Duplex 4 Ambientes En Saavedra A Estrenar Con Terraza,Departamento,Saavedra,4,3,1,229,122,"$396,000",$0,15/11/2024
Departamento 4 Ambientes En Saavedra,Departamento,Saavedra,4,3,3,146,105,"$440,000",$0,12/11/2024
Venta departamento 4 ambientes c/ cochera en Saavedra,Departamento,Saavedra,4,3,3,244,120,"$469,000",$0,21/10/2024
Departamento 4 Ambientes En Saavedra,Departamento,Saavedra,4,3,3,194,145,"$585,000",$0,12/11/2024
Venta|Excelente casa de 5 amb c/ quincho y pileta|Saavedra,Casa,Saavedra,5,4,3,517,347,"$680,000",$0,10/10/2024
Departamento 5 Ambientes En Saavedra,Departamento,Saavedra,5,4,4,254,187,"$790,000",$0,12/11/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,4,3,2,104,87,"$170,000","$25,000",31/10/2024
Hermoso Ph. Frente-3 Amb.2 Patios-cocina Independiente-lavadero-75 Mts2,Departamento,San Cristóbal,3,2,1,75,55,"$135,000","$44,000",14/11/2024
2 Ambientes Muy Luminoso,Departamento,San Cristóbal,2,1,1,52,0,"$70,000","$52,000",26/11/2024
2 AMBIENTES SARANDI AL 1300 SAN CRISTOBAL,Departamento,San Cristóbal,2,1,1,42,42,"$52,000","$70,000",29/10/2024
TRES AMBIENTES LATERAL C/BALCON - LUMINOSO - SAN CRISTOBAL,Departamento,San Cristóbal,3,2,1,55,51,"$79,500","$74,000",24/09/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,3,2,1,46,46,"$84,000","$75,000",18/10/2024
"DEPARTAMENTO 2 AMBIENTES - SAN CRISTóBAL, CAPITAL FEDERAL",Departamento,San Cristóbal,2,1,1,36,31,"$79,500","$80,000",08/10/2024
Venta de PH de 4 Ambientes con Terraza,Departamento,San Cristóbal,4,3,1,163,100,"$155,000","$90,000",23/10/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,3,2,1,73,56,"$149,000","$90,200",20/11/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,3,2,2,73,56,"$149,000","$110,000",09/11/2024
VENTA DEPTO. 3 AMBIENTES SAN CRISTOBAL,Departamento,San Cristóbal,3,2,1,58,58,"$60,000","$158,000",22/11/2024
2 AMBIENTES AL CONTRAFRENTE SARANDI AL 1300 SAN CRISTOBAL,Departamento,San Cristóbal,2,1,1,42,42,"$52,000","$180,000",05/11/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,2,1,1,47,44,"$90,000","$180,000",08/10/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,4,3,2,104,87,"$170,000","$187,000",05/11/2024
"Depto 2 amb en torre, piso 11, vista abierta a la ciudad, bajas expensas.",Departamento,San Cristóbal,2,1,1,33,33,"$60,000","$200,000",04/10/2024
San cristobal,Departamento,San Cristóbal,2,1,1,28,28,"$45,000","$215,000",27/11/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,2,1,1,38,32,"$82,000","$275,000",12/11/2024
Departamento en venta de 2 dormitorios c/ cochera en San Cristóbal,Departamento,San Cristóbal,3,2,2,66,62,"$155,000","$300,000",04/11/2024
Depto 4 Amb - Zona San Cristobal,Departamento,San Cristóbal,4,3,1,100,100,"$107,000","$390,000",20/11/2024
Departamento 2 Ambientes Con Balcón Terraza,Departamento,San Cristóbal,2,1,1,59,54,"$130,000","$390,000",26/11/2024
Alberti 1100 P9 Semipiso 4 Ambientes Con Balcón Aterrazado. Muy Luminoso.,Departamento,San Cristóbal,4,3,2,90,72,"$159,000","$422,000",24/10/2024
Dpto de 2 amb y medio - 2do piso por escalera - BAJAS EXPENSAS - POCOS VECINOS,Departamento,San Cristóbal,2,1,1,46,46,"$75,000","$1,400,000",14/11/2024
Departamento 2 Amb Mucha Luz - Apto Crédito,Departamento,San Cristóbal,2,1,1,31,31,"$45,000",$0,11/11/2024
2 amb con patio en un 1er piso con ascensor,Departamento,San Cristóbal,2,1,1,35,30,"$55,000",$0,14/11/2024
DEPARTAMENTO EN VENTA 40 M2 DOS AMBIENTES BALCON AV. GARAY AL 2700,Departamento,San Cristóbal,2,1,1,40,38,"$63,000",$0,08/10/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,2,1,1,51,51,"$64,500",$0,27/11/2024
San Juan 1874. Departamento Mono. San Cristobal,Departamento,San Cristóbal,1,1,1,35,33,"$65,000",$0,14/11/2024
Departamento Frenta A La Plaza Martin Fierro. Tremenda Vista!,Departamento,San Cristóbal,2,1,1,39,39,"$65,000",$0,06/11/2024
Hermoso Departamento 2 Amb 39m2 Muy Luminoso - Apto Profesional,Departamento,San Cristóbal,2,1,1,39,39,"$70,000",$0,07/11/2024
Departamento De 3 Amb.reciclado - San Cristobal,Departamento,San Cristóbal,3,2,1,50,50,"$73,000",$0,20/11/2024
Dto. De 3 Amb. Con Balcón A 2 Cuadras De Uade Y Subte Cy E,Departamento,San Cristóbal,3,2,1,65,62,"$79,500",$0,22/11/2024
Venta 2 Amb. Al Frente C/dos Balcones Excelente Estado - San Cristóbal,Departamento,San Cristóbal,2,1,1,37,33,"$80,000",$0,31/10/2024
Venta Departamento 2 Ambientes Con Baulera Y Cochera Opcional En Monserrat,Departamento,San Cristóbal,2,1,1,40,40,"$80,000",$0,01/11/2024
Vendo P. 12 Edificio Nuevo - Av San Juan 1874 Parrilla Opcion Cochera,Departamento,San Cristóbal,1,1,1,38,36,"$83,000",$0,02/10/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,2,1,1,42,37,"$84,000",$0,16/10/2024
Departamento tipo PH en San Cristobal,Departamento,San Cristóbal,4,3,1,525,505,"$85,500",$0,26/10/2024
Departamento En Venta,Departamento,San Cristóbal,3,2,1,51,49,"$86,000",$0,29/10/2024
"Piso/departamento En Venta 3 Ambientes, Balcon Corrido, Vista Panoramica!!!",Departamento,San Cristóbal,3,2,1,54,47,"$87,000",$0,14/10/2024
"Departamento En Venta En San Cristóbal, Capital Federal, Buenos Aires",Departamento,San Cristóbal,3,2,1,53,49,"$89,000",$0,18/11/2024
Departamento 2 Ambientes Tipo Loft Apto Profesional,Departamento,San Cristóbal,2,1,1,45,33,"$90,000",$0,06/11/2024
"3 Amb. Monserrat, San Josí¨ 900. Frente Con Balcón",Departamento,San Cristóbal,3,2,1,54,54,"$90,000",$0,25/09/2024
Venta Departamento 2 Ambientes Con Baulera Y Cochera Apto Credito Hipotecario,Departamento,San Cristóbal,2,1,1,40,40,"$97,000",$0,01/11/2024
3 ambientes con balcón terraza interno y lavadero,Departamento,San Cristóbal,3,2,1,559,559,"$98,000",$0,26/11/2024
Excelente 3 Amb Amplio Luminoso Cerca De Todas Las Facultade,Departamento,San Cristóbal,3,2,1,60,60,"$100,000",$0,21/11/2024
Dos Departamentos Propiedad Multifamiliar Con Terraza Propia Y Parrilla,Departamento,San Cristóbal,4,3,2,120,95,"$109,000",$0,21/11/2024
Departamento 2 Amb. Con Balcón Y Cochera//se Vende Con Renta,Departamento,San Cristóbal,2,1,1,59,54,"$110,000",$0,06/11/2024
3 AMB CON BALCON AL FRENTE SUPER LUMINOSO,Departamento,San Cristóbal,3,2,1,74,66,"$110,000",$0,15/10/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,2,1,2,54,54,"$115,000",$0,17/10/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,2,1,1,51,45,"$119,000",$0,17/11/2024
Departamento - San Cristobal,Departamento,San Cristóbal,3,2,1,58,50,"$125,000",$0,20/11/2024
Semipiso De 4 Ambientes Con Balcón,Departamento,San Cristóbal,4,3,1,785,74,"$130,000",$0,06/11/2024
"3 ambientes al frente con balcón sobre avenida, con 2 baños",Departamento,San Cristóbal,3,2,2,69,62,"$132,000",$0,25/09/2024
Departamento - Venta - Capital Federal,Departamento,San Cristóbal,3,2,1,68,58,"$135,000",$0,28/10/2024
Departamento Racionalista De 4 Amb Con Balcones - San Crist,Departamento,San Cristóbal,4,3,2,83,83,"$150,000",$0,15/11/2024
Venta Departamento De 3 Ambientes Altos Porteños Con Cochera,Departamento,San Cristóbal,3,2,1,71,68,"$163,000",$0,16/11/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,75,69,"$165,000",$0,02/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,75,69,"$170,000",$0,02/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,83,70,"$170,000",$0,02/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,75,69,"$178,000",$0,02/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,75,69,"$180,000",$0,02/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,96,70,"$188,000",$0,02/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,83,70,"$190,000",$0,02/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,120,70,"$193,000",$0,02/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,75,69,"$195,000",$0,11/11/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,83,70,"$195,000",$0,02/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera",Departamento,San Cristóbal,3,2,2,155,127,"$365,000",$0,02/10/2024
VENTA DE DEPARTAMENTO A METROS DE FLORIDA,Departamento,San Nicolás,6,4,2,150,140,"$180,000",$270,18/11/2024
Oportunidad! Departamento Apto Profesional De 3 Ambientes Y 69m2 En Venta,Departamento,San Nicolás,4,2,1,69,69,"$99,000","$37,000",04/10/2024
Tucumán 600 San Nicolás 5amb U$199.000,Departamento,San Nicolás,5,4,2,105,105,"$199,000","$42,000",05/11/2024
Tucumán 600 San Nicolás 5amb U$199.000,Departamento,San Nicolás,5,4,2,105,105,"$199,000","$42,000",31/10/2024
Semipiso 8 Ambientes En San Nicolás,Departamento,San Nicolás,8,7,2,191,191,"$300,000","$50,000",16/10/2024
Av Leando N. Alem 400 San Nicolás 4amb U$160.000,Departamento,San Nicolás,4,3,2,85,85,"$160,000","$56,700",25/09/2024
Monoambiente - Divisible - Frente,Departamento,San Nicolás,1,1,1,31,31,"$57,000","$65,000",17/10/2024
2 Ambientes Tucuman al 1600 Ideal Inversor,Departamento,San Nicolás,2,1,1,28,28,"$43,000","$90,000",14/10/2024
Av Corrientes 1600 San Nicolas 5amb blcon coch u$240.000,Departamento,San Nicolás,5,4,2,106,100,"$240,000","$95,993",07/11/2024
"SAN NICOLAS,/2,AMBIENTES 6 PISO 33 ,metros; frente subte lí­nea B",Departamento,San Nicolás,2,1,1,33,33,"$69,000","$99,000",27/11/2024
"San Nicolás, Venta PH segundo piso x escalera.",Departamento,San Nicolás,2,1,1,40,40,"$39,000","$100,000",31/10/2024
2 AMBIENTES LATERAL,Departamento,San Nicolás,2,1,1,40,40,"$65,000","$120,000",12/11/2024
Parana 426,Departamento,San Nicolás,3,2,1,47,47,"$99,000","$145,000",05/11/2024
"Departamento en venta en Centro,Caba",Departamento,San Nicolás,2,1,1,33,33,"$65,000","$150,000",21/11/2024
Monoambiente Lateral - Apto Profesional - Ideal Inversor O Estudiante,Departamento,San Nicolás,1,1,1,23,23,"$45,000",$0,13/11/2024
Excelente Depto. Dividido - Zona Inmejorable - Pisos Plast.,Departamento,San Nicolás,2,1,1,34,34,"$59,800",$0,26/10/2024
Departamento 2 Amb. Transformado A 3 En San Nicolás,Departamento,San Nicolás,3,2,1,37,37,"$59,800",$0,19/11/2024
Departamento En San Nicolás,Departamento,San Nicolás,2,1,1,39,39,"$62,500",$0,31/10/2024
"Dos Ambientes Amplios, Apto Crí¨dito",Departamento,San Nicolás,2,1,1,38,38,"$65,000",$0,13/11/2024
VENTA DEPTO. 2 AMB. PERON 1200,Departamento,San Nicolás,2,1,1,42,42,"$65,000",$0,26/09/2024
Departamento En Caba A La Venta,Departamento,San Nicolás,2,1,1,35,35,"$68,000",$0,13/11/2024
Venta Departamento 2 Ambientes,Departamento,San Nicolás,2,1,1,40,37,"$70,000",$0,06/11/2024
2ambientes Con Patio Cerrito 100 San Nicolas,Departamento,San Nicolás,2,1,1,50,40,"$72,000",$0,28/09/2024
"Departamento En Venta En San Nicolás, Capital Federal, Buenos Aires",Departamento,San Nicolás,2,1,1,33,33,"$79,000",$0,15/10/2024
"Departamento 2 Ambientes En Venta En San Nicolás, A Metros Del Teatro Colón Y El Obelisco",Departamento,San Nicolás,2,1,1,60,60,"$79,000",$0,14/11/2024
"Departamento En Venta En San Nicolás, Capital Federal, Buenos Aires",Departamento,San Nicolás,2,1,1,34,34,"$80,000",$0,15/10/2024
"Departamento En Venta En San Nicolás, Capital Federal, Buenos Aires",Departamento,San Nicolás,2,1,1,42,42,"$80,000",$0,26/11/2024
2 Ambientes Reciclado En Venta - San Nicolas,Departamento,San Nicolás,2,1,1,51,51,"$82,000",$0,15/11/2024
"Venta Departamento De 2 Ambientes Remodelado En Retiro / Recoleta, Apto Profesional",Departamento,San Nicolás,2,1,1,42,42,"$87,000",$0,24/10/2024
Departamento 3 Amb. En San Nicolas Apto Profesional,Departamento,San Nicolás,3,2,2,75,75,"$95,000",$0,19/11/2024
Departamento 3 Ambientes,Departamento,San Nicolás,3,2,2,74,74,"$97,500",$0,06/11/2024
"3 Amb C/dep. Constitución, Humrto 1Âº 1200. Frente, Balcón",Departamento,San Nicolás,3,2,1,87,84,"$98,000",$0,14/10/2024
Departamento - Tribunales,Departamento,San Nicolás,3,2,1,57,57,"$115,000",$0,23/10/2024
Departamento Venta 3 Ambientes Con Dependencia Rodriguez Peña 24,Departamento,San Nicolás,3,2,2,82,82,"$115,000",$0,25/10/2024
Departamento - Venta - Capital Federal,Departamento,San Nicolás,3,2,1,68,68,"$125,000",$0,05/11/2024
Departamento - Venta - Capital Federal,Departamento,San Nicolás,3,2,1,68,68,"$125,000",$0,31/10/2024
Exc. Depto 4 Amb. Al Frente - Venta,Departamento,San Nicolás,4,3,1,88,87,"$130,000",$0,03/10/2024
Departamento En Barrio Norte,Departamento,San Nicolás,3,2,1,110,105,"$140,000",$0,15/11/2024
"Â¡venta, Con 92 M2 Cubiertos, Dormitorio E Suite C Vestidor, Escritorio,baño Y Toilette!",Departamento,San Nicolás,3,2,1,92,92,"$145,000",$0,04/10/2024
Semi-piso 4 Ambientes Al Frente Con Balcón En San Nicolás,Departamento,San Nicolás,4,3,2,96,94,"$150,000",$0,13/11/2024
Venta - San Nicolás Ph Ideal Inversión P/ Alquiler Temporario,Departamento,San Nicolás,4,3,1,231,137,"$155,000",$0,10/10/2024
Av. Córdoba 1300 Piso 4to. Al Frente 3 Ambientes. 2 Baños. Lavadero. T75m2. Apto Crédito.,Departamento,San Nicolás,3,2,2,75,75,"$158,000",$0,19/11/2024
3 Dormitorios En Venta .depto Antiguo De Estilo,Departamento,San Nicolás,5,3,2,141,139,"$162,000",$0,26/11/2024
Venta de 4 amb con dependencia y terraza apto profesional en Microcentro,Departamento,San Nicolás,4,3,1,118,78,"$182,000",$0,09/11/2024
Semi Piso Luminoso Tres Habitaciones Dependencias,Departamento,San Nicolás,4,3,2,94,94,"$185,000",$0,17/10/2024
"Departamento En Venta En San Nicolás, Capital Federal, Buenos Aires",Departamento,San Nicolás,3,2,2,94,94,"$190,000",$0,14/11/2024
"Departamento En Venta En San Nicolás, Capital Federal, Buenos Aires",Departamento,San Nicolás,3,2,2,94,94,"$190,000",$0,11/11/2024
"Departamento En Venta En Centro, Capital Federal, Buenos Aires",Departamento,San Nicolás,6,4,3,140,140,"$190,000",$0,29/10/2024
Venta De Piso En San Nicolás - 157 m2 Apto Profesional!,Departamento,San Nicolás,7,4,1,157,146,"$230,000",$0,14/11/2024
Venta De Piso En San Nicolás - 162 m2 Apto Profesional!,Departamento,San Nicolás,7,4,1,162,147,"$230,000",$0,14/11/2024
"Piso En Edificio Art Decó, Gran Potencial. Zona Teatro Colón.",Departamento,San Nicolás,7,7,3,220,205,"$235,000",$0,04/10/2024
PH entrada independiente 210m2 cubiertos 339m2 totales,Departamento,San Nicolás,4,3,3,349,210,"$240,000",$0,08/10/2024
VENTA DEPARTAMENTO 5 AMB. BARRIO NORTE,Departamento,San Nicolás,5,4,3,165,165,"$300,000",$0,19/10/2024
DEPARTAMENTO DOS AMBIENTES AL FRENTE 1ER PISO X ESCALERA APTO CREDITO,Departamento,San Nicolás Tribunales,2,1,1,38,35,"$49,000","$100,000",24/10/2024
"Departamento en venta en Barrio Norte,Caba",Departamento,San Nicolás Tribunales,3,2,1,71,71,"$155,000","$140,000",21/11/2024
ESTUPENDO DEPARTAMENTO/OFICINA DE 4 AMBIENTES,Departamento,San Nicolás Tribunales,4,3,1,54,54,"$102,900","$153,300",26/10/2024
"DEPARTAMENTO 6 DORMITORIOS - TRIBUNALES, CAPITAL FEDERAL",Departamento,San Nicolás Tribunales,7,6,3,244,244,"$260,000","$640,000",14/10/2024
2 Ambientes En El Centro Apto Crédito !!!,Departamento,San Nicolás Tribunales,2,1,1,35,35,"$59,900",$0,18/11/2024
Departamento 2 ambientes en venta en Centro Caba,Departamento,San Nicolás Tribunales,2,1,1,47,39,"$65,000",$0,17/10/2024
Departamento 2 ambientes en venta en Centro,Departamento,San Nicolás Tribunales,2,1,1,46,44,"$79,000",$0,16/10/2024
Departamento De 2 Amb. - 1° X Escalera -luminoso,Departamento,San Telmo,2,1,1,40,40,"$65,000","$65,000",23/11/2024
Departamento 2 Ambientes - Luminoso - Orientación Norte - Bajas expensas - San Telmo,Departamento,San Telmo,2,1,1,40,40,"$78,000","$65,000",09/10/2024
EXQUISITO LOFT EN SAN TELMO,Departamento,San Telmo,4,3,1,96,96,"$175,000","$65,058",17/11/2024
Oportunidad 2 ambientes con cochera Microcentro,Departamento,San Telmo,2,1,1,34,34,"$67,000","$70,000",06/11/2024
Departamento - Venta - Capital Federal,Departamento,San Telmo,3,2,1,55,51,"$86,000","$82,000",06/11/2024
"Departamento en venta, San Telmo - Capital Federal San Telmo. Depto 3 Ambiente Impecable sobre calle Peru Al 800",Departamento,San Telmo,3,1,1,75,75,"$115,000","$85,000",26/11/2024
Estados Unidos 700 San Telmo PH 3amb U$255.000,Departamento,San Telmo,3,2,2,145,97,"$255,000","$85,000",27/09/2024
Departamento En Venta 4ambientes - San Telmo Al Frente Muy Luminoso,Departamento,San Telmo,4,3,2,102,0,"$150,000","$90,000",16/10/2024
Departamento En Venta De 3 Ambientes En San Telmo. Al Frente,Departamento,San Telmo,3,2,1,67,64,"$125,000","$105,000",24/10/2024
Departamento 2 Ambientes,Departamento,San Telmo,2,1,1,50,50,"$75,000","$152,000",16/10/2024
"NUEVO INGRESO La Editorial, único en su estilo",Departamento,San Telmo,2,1,2,47,47,"$135,000","$275,000",26/09/2024
Departamento Monoambiente Venta San Telmo,Departamento,San Telmo,2,1,1,41,37,"$152,000","$878,900",10/10/2024
Departamento 2 Ambientes Con Terraza Propia,Departamento,San Telmo,2,1,1,82,43,"$55,000",$0,08/10/2024
Departamento 2 Ambientes - San Telmo,Departamento,San Telmo,2,1,1,40,40,"$60,000",$0,13/11/2024
Departamento 2 Y Medio Ambientes Reciclado,Departamento,San Telmo,2,1,1,42,42,"$60,000",$0,06/11/2024
Departamento De 2 Amb. - 1° X Escalera -luminoso,Departamento,San Telmo,2,1,1,40,40,"$65,000",$0,01/11/2024
Departamento 2 Y 1/2 Ambientes Con Balcón Corrido,Departamento,San Telmo,2,1,1,47,47,"$65,000",$0,06/11/2024
VENTA 1 Y 2 AMBIENTES EN SAN TELMO ENTREGA OCTUBRE 2025,Departamento,San Telmo,2,1,1,269,236,"$65,800",$0,04/11/2024
Departamento En Venta 2 Ambientes San Telmo,Departamento,San Telmo,2,1,1,36,36,"$68,000",$0,05/11/2024
Departamento de dos ambientes en San Telmo,Departamento,San Telmo,2,1,1,40,40,"$68,000",$0,22/11/2024
Departamento 3 Ambientes Venta - San Telmo,Departamento,San Telmo,3,2,1,41,41,"$69,000",$0,27/09/2024
Departamento 3 Ambientes // Se Vende Con Renta,Departamento,San Telmo,3,2,1,49,49,"$69,000",$0,06/11/2024
DEPARTAMENTO 2 AMBIENTES SOBRE AVDA PROXIMO A FACULTADES,Departamento,San Telmo,2,1,1,48,48,"$69,800",$0,23/10/2024
Departamento 2 Ambientes,Departamento,San Telmo,2,1,1,50,50,"$75,000",$0,06/11/2024
Departamento 3 Ambientes,Departamento,San Telmo,3,2,1,78,55,"$75,000",$0,06/11/2024
"2 Amb. San Telmo, Santiago Del Estero 700, 40m2, Ianua",Departamento,San Telmo,2,1,1,40,40,"$78,000",$0,19/11/2024
VENTA DEPARTAMENTO SAN TELMO APTO CREDITO,Departamento,San Telmo,2,1,1,48,44,"$82,000",$0,26/10/2024
Departamento 3 Ambientes Con Balcón,Departamento,San Telmo,3,2,1,47,46,"$82,000",$0,26/11/2024
San Telmo: 1 Y 2 Amb. En Construcción B.irigoyen Y Av. San Juan,Departamento,San Telmo,2,1,1,38,34,"$84,400",$0,06/11/2024
Amplio Semipiso 3 Ambientes Con Balcón San Telmo - Excelente Ubicación,Departamento,San Telmo,3,2,1,65,61,"$85,000",$0,25/11/2024
Hermoso Departamento 3 Ambientes En San Telmo,Departamento,San Telmo,3,2,1,68,68,"$85,000",$0,15/10/2024
VENTA 1 Y 2 AMBIENTES EN SAN TELMO ENTREGA OCTUBRE 2025,Departamento,San Telmo,2,1,1,385,346,"$89,300",$0,04/11/2024
Semipiso 2 Ambientes Con Balcón Terraza,Departamento,San Telmo,2,1,1,59,34,"$90,000",$0,26/11/2024
Departamento En Venta De 3 Ambientes En San Telmo. Frente,Departamento,San Telmo,3,2,2,74,74,"$95,000",$0,14/10/2024
"3 Amb C/dep. Constitución, Humrto 1Âº 1200. Frente, Balcón",Departamento,San Telmo,3,2,1,87,84,"$98,000",$0,14/10/2024
Departamento De Dos Ambientes En Venta - Semipiso - Piso 12 - Muy Luminoso - Zona Uade,Departamento,San Telmo,2,1,1,53,49,"$99,000",$0,06/11/2024
Semipiso 3 1/2 Ambientes,Departamento,San Telmo,3,2,1,78,78,"$103,000",$0,06/11/2024
Departamento 2 Ambientes Con Balcón,Departamento,San Telmo,2,1,1,50,44,"$109,500",$0,06/11/2024
Venta Monoambiente San Telmo,Departamento,San Telmo,2,1,1,39,39,"$110,000",$0,15/11/2024
Departamento - Congreso,Departamento,San Telmo,3,2,1,66,66,"$110,000",$0,04/11/2024
"VENTA DEPARTAMENTO 3 AMBIENTES , ZONA SAN TELMO.",Departamento,San Telmo,3,2,1,58,54,"$115,000",$0,27/11/2024
Reservado // Semipiso En Esquina 3 Ambientes Con Balcón,Departamento,San Telmo,3,2,1,79,74,"$115,000",$0,06/11/2024
"Venta Departamento 4 Ambientes, San Telmo",Departamento,San Telmo,4,3,1,79,79,"$115,000",$0,04/11/2024
Departamento 2 Ambientes Con Balcón,Departamento,San Telmo,2,1,1,50,44,"$120,000",$0,06/11/2024
Departamento 3 Ambientes Con Galerí­a // Se Vende Con Renta,Departamento,San Telmo,3,2,1,80,80,"$120,000",$0,06/11/2024
Departamento 2 Ambientes Con Balcón // Se Vende Con Renta,Departamento,San Telmo,2,1,1,50,44,"$123,500",$0,06/11/2024
Venta Departamento 2 Ambientes San Telmo,Departamento,San Telmo,2,1,1,50,40,"$125,000",$0,30/10/2024
Departamento 3 Ambientes Con Balcón,Departamento,San Telmo,3,2,1,62,59,"$125,000",$0,06/11/2024
Departamento 4 Ambientes Con Balcón // Se Vende Con Renta,Departamento,San Telmo,4,3,2,76,76,"$125,000",$0,06/11/2024
Increible 2 Ambientes En Lezzama San Telmo. En Venta!,Departamento,San Telmo,2,1,1,58,50,"$126,091",$0,21/11/2024
Increible 2 Ambientes En Lezzama San Telmo. En Venta!,Departamento,San Telmo,2,1,1,58,50,"$126,091",$0,14/10/2024
Departamento 4 Ambientes Con Balcón,Departamento,San Telmo,4,3,2,97,93,"$129,000",$0,06/11/2024
"Venta Depto 2 Amb Especial En San Telmo, Capital Federal",Departamento,San Telmo,2,1,1,96,53,"$130,000",$0,06/11/2024
Venta de Departamento 3 AMBIENTES en el barrio de SAN TELMO!,Departamento,San Telmo,3,2,2,100,72,"$130,000",$0,22/10/2024
Increible 2 Ambientes En Lezzama San Telmo. En Venta!,Departamento,San Telmo,2,1,1,58,50,"$131,290",$0,14/10/2024
"Departamento Dúplex En Venta En San Telmo, Capital Federal, Buenos Aires",Departamento,San Telmo,2,1,1,73,73,"$135,000",$0,07/10/2024
Loft Con Entrepiso,Departamento,San Telmo,3,2,1,96,96,"$135,000",$0,06/11/2024
Increible 2 Ambientes En Lezzama San Telmo. En Venta!,Departamento,San Telmo,2,1,1,58,50,"$136,594",$0,21/11/2024
Increible 2 Ambientes En Lezzama San Telmo. En Venta!,Departamento,San Telmo,2,1,1,66,47,"$138,609",$0,14/10/2024
Increible 2 Ambientes En Lezzama San Telmo. En Venta!,Departamento,San Telmo,2,1,1,66,50,"$138,609",$0,21/11/2024
Increible 2 Ambientes En Lezzama San Telmo. En Venta!,Departamento,San Telmo,2,1,1,58,50,"$142,112",$0,20/11/2024
